Store_ID,Month,Dept,IsHoliday,Weekly_Sales,CPI,Unemployment
1,1,44,0,5734.60986328125,211.0963582,8.106
1,1,68,0,3021.989990234375,211.0963582,8.106
1,1,89,0,8093.97021484375,211.0963582,8.106
1,1,17,0,8179.10986328125,211.0963582,
1,1,30,0,7344.77001953125,211.0963582,
1,1,99,0,8402.080078125,211.0963582,
1,1,20,0,26352.5703125,211.0963582,
1,1,86,0,30477.990234375,211.0963582,
1,1,13,0,9954.830078125,211.0963582,
1,1,82,0,13788.7900390625,211.0963582,
1,1,3,0,10945.580078125,211.0963582,8.106
1,1,13,0,4037.7900390625,211.0963582,8.106
1,2,86,0,14741.0302734375,211.0963582,8.106
1,2,60,0,6191.5400390625,211.0963582,8.106
1,2,6,0,8197.75,211.0963582,8.106
1,2,26,0,13096.6298828125,211.0963582,8.106
1,2,91,0,11303.4599609375,211.0963582,8.106
1,2,59,0,22751.759765625,211.0963582,8.106
1,2,2,0,10526.8203125,211.0963582,8.106
1,2,57,0,11452.51953125,211.0963582,8.106
1,2,3,0,5900.5,211.0963582,8.106
1,2,4,0,12238.23046875,211.0963582,8.106
1,3,72,0,19636.2109375,211.0963582,8.106
1,3,15,0,10542.7998046875,211.0963582,8.106
1,3,51,0,24983.619140625,211.0963582,8.106
1,3,80,0,8433.58984375,211.0963582,8.106
1,3,60,0,15007.58984375,211.0963582,8.106
1,3,8,0,11220.25,211.0963582,8.106
1,4,86,0,15314.6298828125,211.0963582,8.106
1,4,4,0,24486.689453125,211.0963582,8.106
1,4,52,0,12070.6796875,211.0963582,8.106
1,4,90,0,14127.2197265625,211.0963582,8.106
1,4,95,0,9943.6103515625,211.0963582,8.106
1,4,84,0,10563.4404296875,211.0963582,8.106
1,4,74,0,10425.169921875,211.0963582,8.106
1,4,79,0,4809.4501953125,211.0963582,8.106
1,5,19,0,10124.4296875,211.0963582,8.106
1,5,59,0,13175.7900390625,211.0963582,8.106
1,5,65,0,5903.830078125,211.0963582,8.106
1,5,44,0,11593.6103515625,211.0963582,8.106
1,5,89,0,17264.2109375,211.0963582,8.106
1,5,68,0,17473.9296875,211.0963582,8.106
1,5,73,0,15831.6103515625,211.0963582,8.106
1,5,95,0,9970.73046875,211.0963582,8.106
1,6,91,0,8163.47998046875,211.0963582,8.106
1,6,83,0,17673.390625,211.0963582,8.106
1,6,79,0,8171.22021484375,211.0963582,8.106
1,6,25,0,5325.9599609375,211.0963582,8.106
1,6,19,0,12497.240234375,211.0963582,8.106
1,6,82,0,15379.66015625,211.0963582,8.106
1,6,92,0,20935.58984375,211.0963582,8.106
1,6,69,0,12069.4404296875,211.0963582,8.106
1,7,14,0,5972.97021484375,211.0963582,8.106
1,7,97,0,5662.14013671875,211.0963582,8.106
1,7,31,0,10280.6298828125,211.0963582,8.106
1,7,83,0,5468.7099609375,211.0963582,8.106
1,7,98,0,7866.8701171875,211.0963582,8.106
1,7,82,0,14065.2197265625,211.0963582,8.106
1,8,40,0,14715.650390625,211.0963582,8.106
1,8,48,0,7126.6298828125,211.0963582,8.106
1,8,65,0,4949.16015625,211.0963582,8.106
1,8,31,0,14682.6796875,211.0963582,8.106
1,8,24,0,16082.73046875,211.0963582,8.106
1,8,8,0,18298.970703125,211.0963582,8.106
1,8,47,0,4934.81005859375,211.0963582,8.106
1,8,89,0,10201.830078125,211.0963582,8.106
1,8,1,0,12009.5595703125,211.0963582,8.106
1,8,98,0,15321.1796875,211.0963582,8.106
1,9,60,0,10893.0400390625,211.0963582,8.106
1,9,74,0,6522.330078125,211.0963582,8.106
1,9,99,0,17155.109375,211.0963582,8.106
1,9,64,0,5069.3798828125,211.0963582,8.106
1,9,68,0,4989.1298828125,211.0963582,8.106
1,9,66,1,4811.33984375,211.2421698,8.106
1,9,85,1,8665.009765625,211.2421698,8.106
1,9,18,1,7210.580078125,211.2421698,8.106
1,9,58,1,20790.91015625,211.2421698,8.106
1,10,3,1,20263.029296875,211.2421698,8.106
1,10,73,1,6033.02978515625,211.2421698,8.106
1,10,26,1,8706.740234375,211.2421698,8.106
1,10,69,1,13744.599609375,211.2421698,8.106
1,10,60,1,7493.0498046875,211.2421698,8.106
1,10,90,1,8723.400390625,211.2421698,8.106
1,10,27,1,15095.240234375,211.2421698,8.106
1,10,66,1,8432.150390625,211.2421698,8.106
1,10,91,1,8916.5595703125,211.2421698,8.106
1,10,3,1,12840.0400390625,211.2421698,8.106
1,10,30,1,8360.9404296875,211.2421698,8.106
1,10,29,1,21446.51953125,211.2421698,8.106
1,10,96,1,9866.4599609375,211.2421698,8.106
1,11,93,1,7719.3798828125,211.2421698,8.106
1,11,82,1,10297.5703125,211.2421698,8.106
1,11,60,1,4297.81005859375,211.2421698,8.106
1,11,85,1,7877.02001953125,211.2421698,8.106
1,11,60,1,12509.98046875,211.2421698,8.106
1,11,89,1,9912.990234375,211.2421698,8.106
1,11,52,1,5442.14990234375,211.2421698,8.106
1,11,7,1,4640.39013671875,211.2421698,8.106
1,11,51,1,9717.4296875,211.2421698,8.106
1,11,35,1,4937.47021484375,211.2421698,8.106
